date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,no,no2,nox,so2,casos_total,poblacio_total,incidencia_1000
2011-11-27,0.9,213.3125,85.4375,994.008333333333,62.9375,10.5708333333333,14.9,7.1,0.1,81.04,48.75,172.33,3.12,0,0,NA
2011-11-28,1.0875,236.9375,78.0833333333333,993.429166666667,78.0416666666667,12.68125,18.1,9.7,0,73.88,57.08,169.5,2.58,21,11759,1.78586614508036
2011-11-29,1.37083333333333,236.770833333333,72.2708333333333,996.729166666667,98.7083333333333,11.83125,17.1,7.5,0,51.79,49.33,127.92,3.21,25,9347,2.67465496950893
2011-11-30,2.12083333333333,258.208333333333,81.625,994.485416666667,107.708333333333,12.5270833333333,16.6,10.4,0,58.42,51.12,140.21,3.38,12,6906,1.73761946133797
2011-12-01,1.48541666666667,260.791666666667,76.3541666666667,987.18125,88.25,12.5520833333333,16.5,9.8,0,31.17,49.29,96.67,2.42,16,8204,1.95026816187226
2011-12-02,1.62916666666667,296.395833333333,69.5208333333333,992.075,94.5416666666667,10.9604166666667,13.9,8.9,0,8.92,27.75,40.83,1.75,20,7111,2.81254394599916
2011-12-03,1.6875,312.375,66.5416666666667,989.720833333333,106.875,11.01875,14.7,9,0,17.17,33.17,59.17,2.04,8,6166,1.29743756081739
2011-12-04,1.65208333333333,281.25,72.1666666666667,986.847916666667,102.25,11.1854166666667,15.3,6.3,0,28.88,44.04,88.04,3.25,4,3234,1.23685837971552
2011-12-05,1.7375,281.645833333333,68.0625,990.841666666667,102.770833333333,10.9354166666667,15.1,7.4,0,25.88,39.25,78.5,2.62,15,6106,2.45660006550934
2011-12-06,1.4625,277.083333333333,72.2291666666667,996.058333333333,108.6875,10.06875,15.5,6.4,0,52.42,47.92,127.58,2.25,4,2833,1.41193081539005
2011-12-07,1.36875,238.479166666667,77.2083333333333,996.941666666667,98.7916666666667,10.825,16.7,7.9,0,32.58,36.75,86.21,3.58,17,9499,1.78966206969155
2011-12-08,0.90625,224.25,85.375,992.139583333333,82.125,9.4375,14.3,5.4,0,57.71,43.21,131.25,5.12,0,0,NA
2011-12-09,1.11041666666667,277.354166666667,78.7916666666667,987.70625,93.5208333333333,9.25625,15.4,5.5,0,22.83,28.42,62.79,3.17,9,4264,2.11069418386492
2011-12-10,1.27916666666667,240.083333333333,80.1666666666667,986.529166666667,83.3125,8.40833333333333,14.7,5.1,0,13.25,26.75,46.54,2.5,10,6485,1.5420200462606
2011-12-11,1.80625,287.354166666667,75.6875,989.5,100.229166666667,8.7625,14.9,5.9,0,40.62,39.04,100.88,3.08,2,2268,0.881834215167548
2011-12-12,2.49166666666667,290.25,62.875,987.964583333333,86.8333333333333,11.29375,15.1,8.2,0,63.75,45.21,142.33,3.88,30,13987,2.14484878816043
2011-12-13,2.34166666666667,305.8125,59.3541666666667,987.6,87.3958333333333,13.3604166666667,17.3,10.3,0,58.92,53.67,143.25,4.08,14,5474,2.55754475703325
2011-12-14,3.44375,297.1875,55.1458333333333,992.729166666667,88.9166666666667,11.2145833333333,14,9.5,0,27.83,39.54,81.92,4.04,24,15296,1.56903765690377
2011-12-15,4.43541666666667,300.875,54.0625,981.9625,55.9583333333333,12.4520833333333,15.5,9,0,24.91,33.86,71.36,3.96,21,11757,1.78616994131156
2011-12-16,4.48541666666667,309.770833333333,60.25,984.64375,107.625,8.01875,10.8,6,0,3.38,11.88,16.5,2.54,17,9957,1.70734156874561
2011-12-17,3.18958333333333,317.770833333333,51.1458333333333,987.270833333333,109.125,6.86458333333334,11,4.3,0,20.46,26.17,57.17,1.83,7,3335,2.09895052473763
2011-12-18,1.79583333333333,286.958333333333,57.3541666666667,991.935416666667,94.2916666666667,6.35416666666667,10.7,2.2,0,43,55.33,120.33,2.33,4,1814,2.20507166482911
2011-12-19,2.10625,270.458333333333,74.125,989.8875,77.6666666666667,8.14791666666667,12.5,3.5,0,53.14,63.14,144,1.29,18,8879,2.02725532154522
2011-12-20,1.41041666666667,231.166666666667,77.1875,990.78125,52.125,10.4458333333333,14.6,6.4,0,125.79,63.5,242,4.54,22,11814,1.86219739292365
2011-12-21,3.50416666666667,321.833333333333,67.1666666666667,993.933333333333,93.4375,12.3958333333333,15.6,9.2,0,54.14,46.95,129.41,3.18,12,6371,1.88353476691257
2011-12-22,1.9625,294.729166666667,66.4583333333333,994.28125,106.625,10.6583333333333,17.8,7.5,0,19.88,37.42,67.42,2.17,17,9968,1.70545746388443
2011-12-23,1.37083333333333,278.104166666667,72.8958333333333,998.083333333334,76.9375,8.68541666666667,14,4.6,0,22.75,31.62,66.29,1.54,11,6369,1.72711571675302
2011-12-24,1.32291666666667,254.6875,61.7291666666667,1001.80625,107.666666666667,7.21875,14.1,3.4,0,22.96,32.04,66.54,1.42,5,4268,1.17150890346767
2011-12-25,1.0875,232.833333333333,69.3333333333333,1004.36666666667,103.916666666667,6.54583333333333,14.2,2.3,0,38.88,43.54,102.58,2.12,4,2642,1.51400454201363
2011-12-26,1.09583333333333,205.083333333333,63.1041666666667,1003.00208333333,74.9583333333333,8.31875,14.8,3.8,0,89.67,68.5,205.25,3.33,13,8815,1.47475893363585
2011-12-27,1.20625,242.041666666667,61.3125,1000.08958333333,107.5625,8.58541666666667,15.1,4.4,0,63.58,61.38,141.13,2.88,29,15554,1.86447216150186
2011-12-28,1.4875,277.125,60.0625,997.358333333333,101.208333333333,7.7375,12.5,3.6,0,51.83,53,132,3.38,19,13071,1.45359957157065
2011-12-29,3.56875,295.041666666667,53.3541666666667,995.29375,107.25,8.975,12.7,5.7,0,20.12,35.88,66.38,2.46,12,5284,2.27100681302044
2011-12-30,1.79791666666667,253.583333333333,65.0208333333333,993.733333333333,107.395833333333,11.4583333333333,16.9,7,0,6.75,30,39.92,2.92,18,12228,1.4720314033366
2011-12-31,1.95416666666667,263.229166666667,71.7083333333333,993.202083333333,104.854166666667,12.3458333333333,17.8,9.6,0,23.58,30.67,66.38,2.83,4,4073,0.982077093051805
2012-01-01,4.08958333333333,317.625,54.5416666666667,991.022916666667,107.666666666667,12.325,14.9,8.8,0,15.83,26.79,50.58,1.54,4,3420,1.16959064327485
2012-01-02,1.51875,245.020833333333,64.3958333333333,998.633333333334,104.458333333333,8.81666666666667,15,5.5,0,46.92,49.79,121.29,3.25,20,10681,1.8724838498268
2012-01-03,1.48125,228.604166666667,74.1041666666667,997.55,98.8125,8.925,15.5,4.1,0,63.92,52.88,150.42,5.08,18,12254,1.46890811163702
2012-01-04,3.48958333333333,302.729166666667,53.5,990.827083333334,30.8125,11.1708333333333,15.8,6.6,0,23.92,36.04,72.33,3.17,22,11691,1.88178941065777
2012-01-05,2.97083333333333,239.791666666667,69.7291666666667,990.8625,86.2916666666667,11.8104166666667,14.9,6.1,0,20,32.67,62.71,3.92,15,9900,1.51515151515152
2012-01-06,1.41041666666667,285.354166666667,64.7083333333333,996.839583333333,112.666666666667,8.09166666666667,13.9,3.3,0,32.33,44.58,93.71,3.5,3,1742,1.72215843857635
2012-01-07,1.0625,216.145833333333,75.7083333333333,995.302083333334,110.229166666667,7.7875,12.1,4.6,0,14.25,30.75,52.33,1.75,12,8973,1.33734536944166
2012-01-08,1.34166666666667,243.4375,74.3333333333333,997.23125,110,8.59791666666667,15,4.4,0,31.08,43.12,90.46,3.67,4,2246,1.78094390026714
2012-01-09,1.15833333333333,243.708333333333,81.9375,999.652083333333,109.604166666667,7.99791666666666,14.5,3.4,0,87.59,56.55,173.24,6.65,21,13734,1.52905198776758
2012-01-10,0.814583333333334,240,85.2083333333333,1001.29166666667,71.4166666666667,7.28333333333333,12.9,3.6,0,105.25,60.88,221.54,7.25,12,6941,1.72885751332661
2012-01-11,1.41875,253.4375,84.5208333333333,999.70625,112.479166666667,7.86458333333333,13.9,2.9,0.3,82.62,55.58,181.5,4.83,12,8126,1.47674132414472
2012-01-12,1.66041666666667,293.041666666667,62.7083333333333,994.272916666667,119.166666666667,6.59583333333333,13.6,2.9,0,29.29,40.38,85.08,2.46,13,7235,1.79682100898411
2012-01-13,1.18125,232.041666666667,74.2916666666667,989.277083333333,77.5,5.21041666666667,11.9,1.2,0,20.79,34.38,65.92,1.83,9,6456,1.39405204460967
2012-01-14,0.825,218.645833333333,85.2083333333333,986.833333333334,69.0625,6.52916666666667,11.6,3.7,0.2,18,34.58,61.62,2.29,1,295,3.38983050847458
2012-01-15,0.80625,118.916666666667,85.4791666666667,985.66875,32.0625,6.68541666666667,9.5,3.1,0.3,80.54,66.83,189.92,3.67,4,3285,1.21765601217656
2012-01-16,1.35625,148.833333333333,78.9375,996.383333333333,84.2291666666667,9.02708333333333,13.4,6.6,0,117.62,71.58,209.81,2.83,26,15820,1.64348925410872
2012-01-17,1.36458333333333,235.916666666667,78.6875,1001.8625,113.770833333333,6.96875,13.1,2.3,0,111,60.96,192.95,4.42,18,8374,2.14951038930021
2012-01-18,1.44166666666667,259.791666666667,69.1666666666667,1003.44791666667,114.895833333333,8.38125,15.2,3.2,0,64.62,52.38,136.17,4.08,19,8862,2.14398555630783
2012-01-19,1.31458333333333,251.770833333333,69.9375,997.916666666667,119.854166666667,10.39375,17.9,5.4,0,57.83,53.04,140.88,3.62,11,6934,1.58638592443034
2012-01-20,1.81875,301.895833333333,59.0833333333333,994.8875,123.604166666667,10.9645833333333,15.9,7.8,0,23.75,41.75,77.67,2.12,8,6071,1.31774007577005
2012-01-21,1.49791666666667,257.4375,71.9166666666667,990.466666666667,125.25,10.7125,15.9,8.1,0,23.5,33.62,69.5,3.08,11,7383,1.48990925098199
2012-01-22,1.54583333333333,282.104166666667,64.0208333333333,987.614583333333,126.4375,11.5666666666667,17.5,7.5,0,34.91,46.77,100.27,3.48,4,4402,0.908677873693776
2012-01-23,1.30416666666667,212.333333333333,73.1875,991.295833333333,128.604166666667,9.04583333333333,15.5,5.4,0,63.54,51.88,148.79,2.67,28,11914,2.35017626321974
2012-01-24,1.42083333333333,237.208333333333,75.25,989.38125,126.8125,9.22916666666666,16.5,4.8,0,95.58,63.12,187.22,4.25,28,14648,1.91152375750956
